,MappedState,MappedDistrict,Month,Year,MaxTemp(C),MinTemp(C),Rainfall(mm)
9311,Jharkhand,DUMKA,Jun,2020,36,28,611.2
9312,Jharkhand,DUMKA,Jul,2020,33,27,594.6
9313,Jharkhand,DUMKA,Aug,2020,33,27,373.4
9314,Jharkhand,DUMKA,Sep,2020,32,26,464.9
9315,Jharkhand,EAST SINGHBUM,Jan,2017,27,13,1.07
9316,Jharkhand,EAST SINGHBUM,Feb,2017,31,15,0
9317,Jharkhand,EAST SINGHBUM,Mar,2017,35,19,7.01
9318,Jharkhand,EAST SINGHBUM,Apr,2017,41,25,2.63
9319,Jharkhand,EAST SINGHBUM,May,2017,41,28,7.27
9320,Jharkhand,EAST SINGHBUM,Jun,2017,38,29,35.44
9321,Jharkhand,EAST SINGHBUM,Jul,2017,32,26,148.94
9322,Jharkhand,EAST SINGHBUM,Aug,2017,33,26,95.94
9323,Jharkhand,EAST SINGHBUM,Sep,2017,33,26,60.75
9324,Jharkhand,EAST SINGHBUM,Oct,2017,31,23,52.37
9325,Jharkhand,EAST SINGHBUM,Nov,2017,28,18,2.36
9326,Jharkhand,EAST SINGHBUM,Dec,2017,27,15,0.11
9327,Jharkhand,EAST SINGHBUM,Jan,2018,26,12,0
9328,Jharkhand,EAST SINGHBUM,Feb,2018,31,19,0.83
9329,Jharkhand,EAST SINGHBUM,Mar,2018,36,23,5.42
9330,Jharkhand,EAST SINGHBUM,Apr,2018,39,26,16.45
9331,Jharkhand,EAST SINGHBUM,May,2018,40,29,29.32
9332,Jharkhand,EAST SINGHBUM,Jun,2018,37,29,35.97
9333,Jharkhand,EAST SINGHBUM,Jul,2018,33,27,92.38
9334,Jharkhand,EAST SINGHBUM,Aug,2018,32,26,123.77
9335,Jharkhand,EAST SINGHBUM,Sep,2018,32,25,107.11
9336,Jharkhand,EAST SINGHBUM,Oct,2018,33,23,43.5
9337,Jharkhand,EAST SINGHBUM,Nov,2018,32,21,0
9338,Jharkhand,EAST SINGHBUM,Dec,2018,26,17,80.1
9339,Jharkhand,EAST SINGHBUM,Jan,2019,28,18,0.5
9340,Jharkhand,EAST SINGHBUM,Feb,2019,32,21,41.6
9341,Jharkhand,EAST SINGHBUM,Mar,2019,36,25,50.7
9342,Jharkhand,EAST SINGHBUM,Apr,2019,42,29,55.3
9343,Jharkhand,EAST SINGHBUM,May,2019,43,31,93.8
9344,Jharkhand,EAST SINGHBUM,Jun,2019,41,30,167.9
9345,Jharkhand,EAST SINGHBUM,Jul,2019,34,27,298.4
9346,Jharkhand,EAST SINGHBUM,Aug,2019,32,26,604.7
9347,Jharkhand,EAST SINGHBUM,Sep,2019,30,24,593.4
9348,Jharkhand,EAST SINGHBUM,Oct,2019,30,23,465.4
9349,Jharkhand,EAST SINGHBUM,Nov,2019,31,21,2.2
9350,Jharkhand,EAST SINGHBUM,Dec,2019,27,17,9.4
9351,Jharkhand,EAST SINGHBUM,Jan,2020,27,17,20.4
9352,Jharkhand,EAST SINGHBUM,Feb,2020,29,18,22.9
9353,Jharkhand,EAST SINGHBUM,Mar,2020,34,23,71.6
9354,Jharkhand,EAST SINGHBUM,Apr,2020,40,27,55.3
9355,Jharkhand,EAST SINGHBUM,May,2020,41,28,50
9356,Jharkhand,EAST SINGHBUM,Jun,2020,36,28,271.4
9357,Jharkhand,EAST SINGHBUM,Jul,2020,35,27,327.5
9358,Jharkhand,EAST SINGHBUM,Aug,2020,33,27,566.1
9359,Jharkhand,EAST SINGHBUM,Sep,2020,33,26,318.7
9360,Jharkhand,GARHWA,Jan,2017,26,11,7.3
9361,Jharkhand,GARHWA,Feb,2017,30,13,0
9362,Jharkhand,GARHWA,Mar,2017,35,18,3.8
9363,Jharkhand,GARHWA,Apr,2017,42,24,0.86
9364,Jharkhand,GARHWA,May,2017,42,28,3.86
9365,Jharkhand,GARHWA,Jun,2017,40,29,24.98
9366,Jharkhand,GARHWA,Jul,2017,32,26,187.55
9367,Jharkhand,GARHWA,Aug,2017,32,25,129
9368,Jharkhand,GARHWA,Sep,2017,33,25,71.43
9369,Jharkhand,GARHWA,Oct,2017,31,22,24.9
9370,Jharkhand,GARHWA,Nov,2017,27,15,2.72
9371,Jharkhand,GARHWA,Dec,2017,26,12,0.01
9372,Jharkhand,GARHWA,Jan,2018,25,9,0
9373,Jharkhand,GARHWA,Feb,2018,30,16,1.89
9374,Jharkhand,GARHWA,Mar,2018,36,20,0.08
9375,Jharkhand,GARHWA,Apr,2018,40,25,1.92
9376,Jharkhand,GARHWA,May,2018,43,29,8.1
9377,Jharkhand,GARHWA,Jun,2018,39,30,46.19
9378,Jharkhand,GARHWA,Jul,2018,34,27,116.15
9379,Jharkhand,GARHWA,Aug,2018,32,25,119.36
9380,Jharkhand,GARHWA,Sep,2018,31,24,70.64
9381,Jharkhand,GARHWA,Oct,2018,32,21,32
9382,Jharkhand,GARHWA,Nov,2018,30,18,0
9383,Jharkhand,GARHWA,Dec,2018,24,13,59.6
9384,Jharkhand,GARHWA,Jan,2019,25,13,20.1
9385,Jharkhand,GARHWA,Feb,2019,29,16,50.1
9386,Jharkhand,GARHWA,Mar,2019,34,21,27.2
9387,Jharkhand,GARHWA,Apr,2019,41,28,8.1
9388,Jharkhand,GARHWA,May,2019,43,30,1.2
9389,Jharkhand,GARHWA,Jun,2019,42,30,86.5
9390,Jharkhand,GARHWA,Jul,2019,34,27,323.3
9391,Jharkhand,GARHWA,Aug,2019,32,25,750.7
9392,Jharkhand,GARHWA,Sep,2019,30,23,707
9393,Jharkhand,GARHWA,Oct,2019,29,21,119.9
9394,Jharkhand,GARHWA,Nov,2019,29,18,0.2
9395,Jharkhand,GARHWA,Dec,2019,24,13,6.4
9396,Jharkhand,GARHWA,Jan,2020,24,13,62.2
9397,Jharkhand,GARHWA,Feb,2020,27,14,46.8
9398,Jharkhand,GARHWA,Mar,2020,32,20,71
9399,Jharkhand,GARHWA,Apr,2020,39,25,3.7
9400,Jharkhand,GARHWA,May,2020,43,27,5.7
9401,Jharkhand,GARHWA,Jun,2020,37,28,218.2
9402,Jharkhand,GARHWA,Jul,2020,35,27,358.3
9403,Jharkhand,GARHWA,Aug,2020,33,26,526.4
9404,Jharkhand,GARHWA,Sep,2020,33,25,313.7
9405,Jharkhand,GIRIDIH,Jan,2017,25,13,7.11
9406,Jharkhand,GIRIDIH,Feb,2017,29,15,0
9407,Jharkhand,GIRIDIH,Mar,2017,33,19,11.17
9408,Jharkhand,GIRIDIH,Apr,2017,39,25,7.78
9409,Jharkhand,GIRIDIH,May,2017,39,28,12.98
9410,Jharkhand,GIRIDIH,Jun,2017,37,29,58.67
9411,Jharkhand,GIRIDIH,Jul,2017,32,26,266.95
9412,Jharkhand,GIRIDIH,Aug,2017,32,26,201.99
9413,Jharkhand,GIRIDIH,Sep,2017,33,26,129.11
9414,Jharkhand,GIRIDIH,Oct,2017,30,23,139.87
9415,Jharkhand,GIRIDIH,Nov,2017,27,18,2.79
9416,Jharkhand,GIRIDIH,Dec,2017,25,15,0.2
9417,Jharkhand,GIRIDIH,Jan,2018,24,11,0
9418,Jharkhand,GIRIDIH,Feb,2018,29,18,0.48
9419,Jharkhand,GIRIDIH,Mar,2018,34,23,3.41
9420,Jharkhand,GIRIDIH,Apr,2018,38,26,36.77
9421,Jharkhand,GIRIDIH,May,2018,38,28,35.21
9422,Jharkhand,GIRIDIH,Jun,2018,37,30,71.15
9423,Jharkhand,GIRIDIH,Jul,2018,33,27,183.19
9424,Jharkhand,GIRIDIH,Aug,2018,32,26,168.32
9425,Jharkhand,GIRIDIH,Sep,2018,32,25,134.86
9426,Jharkhand,GIRIDIH,Oct,2018,31,23,17.7
9427,Jharkhand,GIRIDIH,Nov,2018,29,21,2.8
9428,Jharkhand,GIRIDIH,Dec,2018,24,16,50.5
9429,Jharkhand,GIRIDIH,Jan,2019,25,16,2.4
9430,Jharkhand,GIRIDIH,Feb,2019,27,18,80.7
9431,Jharkhand,GIRIDIH,Mar,2019,32,23,22.5
9432,Jharkhand,GIRIDIH,Apr,2019,38,28,25.6
9433,Jharkhand,GIRIDIH,May,2019,41,31,91
9434,Jharkhand,GIRIDIH,Jun,2019,39,31,89.6
9435,Jharkhand,GIRIDIH,Jul,2019,33,27,472.7
9436,Jharkhand,GIRIDIH,Aug,2019,32,26,557.6
9437,Jharkhand,GIRIDIH,Sep,2019,29,23,702.4
9438,Jharkhand,GIRIDIH,Oct,2019,29,22,273.1
9439,Jharkhand,GIRIDIH,Nov,2019,29,21,1
9440,Jharkhand,GIRIDIH,Dec,2019,24,15,16.7
9441,Jharkhand,GIRIDIH,Jan,2020,23,15,51.5
9442,Jharkhand,GIRIDIH,Feb,2020,26,16,29.7
9443,Jharkhand,GIRIDIH,Mar,2020,31,22,95.1
9444,Jharkhand,GIRIDIH,Apr,2020,37,26,69.6
9445,Jharkhand,GIRIDIH,May,2020,39,28,81.7
9446,Jharkhand,GIRIDIH,Jun,2020,35,28,396.8
9447,Jharkhand,GIRIDIH,Jul,2020,33,27,632.2
9448,Jharkhand,GIRIDIH,Aug,2020,32,26,480
9449,Jharkhand,GIRIDIH,Sep,2020,32,26,450.5
9450,Jharkhand,GODDA,Jan,2017,25,13,3.7
9451,Jharkhand,GODDA,Feb,2017,30,15,0
9452,Jharkhand,GODDA,Mar,2017,34,19,8.05
9453,Jharkhand,GODDA,Apr,2017,39,25,10.79
9454,Jharkhand,GODDA,May,2017,40,28,37.65
9455,Jharkhand,GODDA,Jun,2017,38,30,38.37
9456,Jharkhand,GODDA,Jul,2017,33,27,156.54
9457,Jharkhand,GODDA,Aug,2017,34,28,59.08
9458,Jharkhand,GODDA,Sep,2017,34,28,61.07
9459,Jharkhand,GODDA,Oct,2017,31,24,84.21
9460,Jharkhand,GODDA,Nov,2017,29,19,0
9461,Jharkhand,GODDA,Dec,2017,26,16,0.06
9462,Jharkhand,GODDA,Jan,2018,23,11,0
9463,Jharkhand,GODDA,Feb,2018,29,16,0.57
9464,Jharkhand,GODDA,Mar,2018,35,22,0.27
9465,Jharkhand,GODDA,Apr,2018,38,26,14.08
9466,Jharkhand,GODDA,May,2018,37,28,40.42
9467,Jharkhand,GODDA,Jun,2018,38,30,22.76
9468,Jharkhand,GODDA,Jul,2018,35,29,81.16
9469,Jharkhand,GODDA,Aug,2018,34,28,59.92
9470,Jharkhand,GODDA,Sep,2018,34,27,57.18
9471,Jharkhand,GODDA,Oct,2018,32,24,61.7
9472,Jharkhand,GODDA,Nov,2018,30,21,0
9473,Jharkhand,GODDA,Dec,2018,24,16,26
9474,Jharkhand,GODDA,Jan,2019,25,15,1.2
9475,Jharkhand,GODDA,Feb,2019,27,17,52.9
9476,Jharkhand,GODDA,Mar,2019,33,22,4.4
9477,Jharkhand,GODDA,Apr,2019,38,27,41.8
9478,Jharkhand,GODDA,May,2019,41,29,14.4
9479,Jharkhand,GODDA,Jun,2019,40,31,72.4
9480,Jharkhand,GODDA,Jul,2019,35,28,347.9
9481,Jharkhand,GODDA,Aug,2019,35,28,224.3
9482,Jharkhand,GODDA,Sep,2019,31,25,507.8
9483,Jharkhand,GODDA,Oct,2019,30,23,95.7
9484,Jharkhand,GODDA,Nov,2019,30,21,0.6
9485,Jharkhand,GODDA,Dec,2019,25,15,0.5
9486,Jharkhand,GODDA,Jan,2020,23,13,9
9487,Jharkhand,GODDA,Feb,2020,26,14,16.4
9488,Jharkhand,GODDA,Mar,2020,32,22,72.3
9489,Jharkhand,GODDA,Apr,2020,38,26,14.6
9490,Jharkhand,GODDA,May,2020,40,28,80.6
9491,Jharkhand,GODDA,Jun,2020,36,28,369.8
9492,Jharkhand,GODDA,Jul,2020,34,28,306.3
9493,Jharkhand,GODDA,Aug,2020,34,28,299.2
9494,Jharkhand,GODDA,Sep,2020,33,27,371.9
9495,Jharkhand,GUMLA,Jan,2017,25,12,4.63
9496,Jharkhand,GUMLA,Feb,2017,29,14,0
9497,Jharkhand,GUMLA,Mar,2017,33,18,8.12
9498,Jharkhand,GUMLA,Apr,2017,39,24,5.27
9499,Jharkhand,GUMLA,May,2017,39,27,23.85
9500,Jharkhand,GUMLA,Jun,2017,37,28,66.02
9501,Jharkhand,GUMLA,Jul,2017,31,26,374.65
9502,Jharkhand,GUMLA,Aug,2017,31,25,259.11
9503,Jharkhand,GUMLA,Sep,2017,32,25,141.27
9504,Jharkhand,GUMLA,Oct,2017,29,22,103.71
9505,Jharkhand,GUMLA,Nov,2017,27,17,4.42
9506,Jharkhand,GUMLA,Dec,2017,25,14,0.04
9507,Jharkhand,GUMLA,Jan,2018,24,11,0
9508,Jharkhand,GUMLA,Feb,2018,29,17,1.18
9509,Jharkhand,GUMLA,Mar,2018,34,22,7.15
9510,Jharkhand,GUMLA,Apr,2018,38,25,13.83
9511,Jharkhand,GUMLA,May,2018,38,28,35.86
9512,Jharkhand,GUMLA,Jun,2018,36,29,70.49
9513,Jharkhand,GUMLA,Jul,2018,32,26,173.81
9514,Jharkhand,GUMLA,Aug,2018,31,25,216.87
9515,Jharkhand,GUMLA,Sep,2018,31,24,167.76
9516,Jharkhand,GUMLA,Oct,2018,32,22,20.6
9517,Jharkhand,GUMLA,Nov,2018,30,20,0.7
9518,Jharkhand,GUMLA,Dec,2018,25,15,68.8
9519,Jharkhand,GUMLA,Jan,2019,26,15,2.2
9520,Jharkhand,GUMLA,Feb,2019,29,18,52.1
9521,Jharkhand,GUMLA,Mar,2019,34,23,31.3
9522,Jharkhand,GUMLA,Apr,2019,40,28,14.2
9523,Jharkhand,GUMLA,May,2019,42,31,117.2
9524,Jharkhand,GUMLA,Jun,2019,41,30,92.6
9525,Jharkhand,GUMLA,Jul,2019,34,27,393.8
9526,Jharkhand,GUMLA,Aug,2019,32,25,537.4
9527,Jharkhand,GUMLA,Sep,2019,30,23,698.4
9528,Jharkhand,GUMLA,Oct,2019,29,21,316.9
9529,Jharkhand,GUMLA,Nov,2019,30,19,3.2
9530,Jharkhand,GUMLA,Dec,2019,25,15,21
9531,Jharkhand,GUMLA,Jan,2020,25,14,42.1
9532,Jharkhand,GUMLA,Feb,2020,28,16,16.6
9533,Jharkhand,GUMLA,Mar,2020,32,21,51.9
9534,Jharkhand,GUMLA,Apr,2020,39,25,39.7
9535,Jharkhand,GUMLA,May,2020,40,28,40
9536,Jharkhand,GUMLA,Jun,2020,36,28,382.4
9537,Jharkhand,GUMLA,Jul,2020,34,27,500.3
9538,Jharkhand,GUMLA,Aug,2020,33,26,494.5
9539,Jharkhand,GUMLA,Sep,2020,33,25,394.4
9540,Jharkhand,HAZARIBAGH,Jan,2017,23,11,7.96
9541,Jharkhand,HAZARIBAGH,Feb,2017,28,13,0.04
9542,Jharkhand,HAZARIBAGH,Mar,2017,32,17,8.35
9543,Jharkhand,HAZARIBAGH,Apr,2017,38,23,4.71
9544,Jharkhand,HAZARIBAGH,May,2017,38,26,21.09
9545,Jharkhand,HAZARIBAGH,Jun,2017,36,27,71.11
9546,Jharkhand,HAZARIBAGH,Jul,2017,30,24,339.05
9547,Jharkhand,HAZARIBAGH,Aug,2017,30,24,302.34
9548,Jharkhand,HAZARIBAGH,Sep,2017,31,24,256.04
9549,Jharkhand,HAZARIBAGH,Oct,2017,28,21,109.17
9550,Jharkhand,HAZARIBAGH,Nov,2017,25,15,3.17
9551,Jharkhand,HAZARIBAGH,Dec,2017,23,12,0.1
9552,Jharkhand,HAZARIBAGH,Jan,2018,22,9,0
9553,Jharkhand,HAZARIBAGH,Feb,2018,28,15,1.51
9554,Jharkhand,HAZARIBAGH,Mar,2018,33,20,3.55
9555,Jharkhand,HAZARIBAGH,Apr,2018,36,24,6.67
9556,Jharkhand,HAZARIBAGH,May,2018,38,26,37.82
9557,Jharkhand,HAZARIBAGH,Jun,2018,35,27,107.15
9558,Jharkhand,HAZARIBAGH,Jul,2018,31,25,216.18
9559,Jharkhand,HAZARIBAGH,Aug,2018,30,24,263.3
9560,Jharkhand,HAZARIBAGH,Sep,2018,29,23,167.31
9561,Jharkhand,HAZARIBAGH,Oct,2018,29,21,51.7
9562,Jharkhand,HAZARIBAGH,Nov,2018,27,18,15.5
9563,Jharkhand,HAZARIBAGH,Dec,2018,22,14,75.8
9564,Jharkhand,HAZARIBAGH,Jan,2019,23,13,14.6
9565,Jharkhand,HAZARIBAGH,Feb,2019,26,16,102.8
9566,Jharkhand,HAZARIBAGH,Mar,2019,31,21,29.5
9567,Jharkhand,HAZARIBAGH,Apr,2019,37,26,30.4
9568,Jharkhand,HAZARIBAGH,May,2019,40,29,18.5
9569,Jharkhand,HAZARIBAGH,Jun,2019,39,28,82.1
9570,Jharkhand,HAZARIBAGH,Jul,2019,32,25,421.3
9571,Jharkhand,HAZARIBAGH,Aug,2019,31,24,474.6
9572,Jharkhand,HAZARIBAGH,Sep,2019,28,22,678.6
9573,Jharkhand,HAZARIBAGH,Oct,2019,27,20,277.4
9574,Jharkhand,HAZARIBAGH,Nov,2019,27,18,2.1
9575,Jharkhand,HAZARIBAGH,Dec,2019,23,14,35.4
9576,Jharkhand,HAZARIBAGH,Jan,2020,22,12,51.8
9577,Jharkhand,HAZARIBAGH,Feb,2020,25,14,29.7
9578,Jharkhand,HAZARIBAGH,Mar,2020,30,20,123
9579,Jharkhand,HAZARIBAGH,Apr,2020,36,24,13.8
9580,Jharkhand,HAZARIBAGH,May,2020,39,26,16.4
9581,Jharkhand,HAZARIBAGH,Jun,2020,34,26,261.2
9582,Jharkhand,HAZARIBAGH,Jul,2020,32,25,613.4
9583,Jharkhand,HAZARIBAGH,Aug,2020,31,24,477.8
9584,Jharkhand,HAZARIBAGH,Sep,2020,31,24,426.6
9585,Jharkhand,JAMTARA,Jan,2017,26,14,3
9586,Jharkhand,JAMTARA,Feb,2017,30,17,0
9587,Jharkhand,JAMTARA,Mar,2017,34,20,5.99
9588,Jharkhand,JAMTARA,Apr,2017,39,25,8.86
9589,Jharkhand,JAMTARA,May,2017,39,29,18.58
9590,Jharkhand,JAMTARA,Jun,2017,38,29,51.86
9591,Jharkhand,JAMTARA,Jul,2017,33,27,163.6
9592,Jharkhand,JAMTARA,Aug,2017,33,27,101.88
9593,Jharkhand,JAMTARA,Sep,2017,33,27,88.68
9594,Jharkhand,JAMTARA,Oct,2017,31,24,102.95
9595,Jharkhand,JAMTARA,Nov,2017,28,19,4.69
9596,Jharkhand,JAMTARA,Dec,2017,27,16,0
9597,Jharkhand,JAMTARA,Jan,2018,25,12,0
9598,Jharkhand,JAMTARA,Feb,2018,31,19,0.13
9599,Jharkhand,JAMTARA,Mar,2018,36,23,7.47
9600,Jharkhand,JAMTARA,Apr,2018,38,26,38.9
9601,Jharkhand,JAMTARA,May,2018,38,28,10.44
9602,Jharkhand,JAMTARA,Jun,2018,37,30,37.25
9603,Jharkhand,JAMTARA,Jul,2018,34,28,94.73
9604,Jharkhand,JAMTARA,Aug,2018,33,27,108.92
9605,Jharkhand,JAMTARA,Sep,2018,33,26,73.18
9606,Jharkhand,JAMTARA,Oct,2018,32,24,47.7
9607,Jharkhand,JAMTARA,Nov,2018,31,22,0
9608,Jharkhand,JAMTARA,Dec,2018,26,17,42.6
9609,Jharkhand,JAMTARA,Jan,2019,27,17,0.2
9610,Jharkhand,JAMTARA,Feb,2019,30,20,76
9611,Jharkhand,JAMTARA,Mar,2019,34,25,13.9
9612,Jharkhand,JAMTARA,Apr,2019,40,29,45.7
9613,Jharkhand,JAMTARA,May,2019,43,31,175.3
9614,Jharkhand,JAMTARA,Jun,2019,40,31,91.2
9615,Jharkhand,JAMTARA,Jul,2019,35,28,433.4
9616,Jharkhand,JAMTARA,Aug,2019,33,27,457.7
9617,Jharkhand,JAMTARA,Sep,2019,31,24,664.5
9618,Jharkhand,JAMTARA,Oct,2019,30,23,313.6
9619,Jharkhand,JAMTARA,Nov,2019,30,22,1.3
9620,Jharkhand,JAMTARA,Dec,2019,26,17,7
9621,Jharkhand,JAMTARA,Jan,2020,25,16,20.2
9622,Jharkhand,JAMTARA,Feb,2020,28,18,21.7
9623,Jharkhand,JAMTARA,Mar,2020,33,23,42
9624,Jharkhand,JAMTARA,Apr,2020,38,26,78.8
9625,Jharkhand,JAMTARA,May,2020,40,28,72.1
9626,Jharkhand,JAMTARA,Jun,2020,36,29,392.3
9627,Jharkhand,JAMTARA,Jul,2020,34,28,452
9628,Jharkhand,JAMTARA,Aug,2020,33,27,352.7
9629,Jharkhand,JAMTARA,Sep,2020,33,27,346.7
9630,Jharkhand,KHUNTI,Jan,2017,25,11,4.84
9631,Jharkhand,KHUNTI,Feb,2017,29,13,0
9632,Jharkhand,KHUNTI,Mar,2017,32,17,12.61
9633,Jharkhand,KHUNTI,Apr,2017,39,23,4.59
9634,Jharkhand,KHUNTI,May,2017,39,26,17.89
9635,Jharkhand,KHUNTI,Jun,2017,36,27,56.7
9636,Jharkhand,KHUNTI,Jul,2017,30,24,292.08
9637,Jharkhand,KHUNTI,Aug,2017,30,24,184.6
9638,Jharkhand,KHUNTI,Sep,2017,31,24,99.44
9639,Jharkhand,KHUNTI,Oct,2017,28,21,54.21
9640,Jharkhand,KHUNTI,Nov,2017,25,16,4.16
9641,Jharkhand,KHUNTI,Dec,2017,25,13,0.03
9642,Jharkhand,KHUNTI,Jan,2018,24,10,0
9643,Jharkhand,KHUNTI,Feb,2018,29,16,1.27
9644,Jharkhand,KHUNTI,Mar,2018,33,21,4.18
9645,Jharkhand,KHUNTI,Apr,2018,37,24,4.99
9646,Jharkhand,KHUNTI,May,2018,38,27,26.36
9647,Jharkhand,KHUNTI,Jun,2018,35,27,97.56
9648,Jharkhand,KHUNTI,Jul,2018,31,25,125.67
9649,Jharkhand,KHUNTI,Aug,2018,30,24,197.92
9650,Jharkhand,KHUNTI,Sep,2018,29,23,145.89
9651,Jharkhand,KHUNTI,Oct,2018,29,21,51.5
9652,Jharkhand,KHUNTI,Nov,2018,27,19,13.1
9653,Jharkhand,KHUNTI,Dec,2018,22,14,95.9
9654,Jharkhand,KHUNTI,Jan,2019,24,15,12.6
9655,Jharkhand,KHUNTI,Feb,2019,27,18,62.6
9656,Jharkhand,KHUNTI,Mar,2019,31,22,128.8
9657,Jharkhand,KHUNTI,Apr,2019,37,26,97.8
9658,Jharkhand,KHUNTI,May,2019,39,29,51.6
9659,Jharkhand,KHUNTI,Jun,2019,38,28,69.3
9660,Jharkhand,KHUNTI,Jul,2019,30,24,452
9661,Jharkhand,KHUNTI,Aug,2019,29,23,639.6
9662,Jharkhand,KHUNTI,Sep,2019,27,22,564
9663,Jharkhand,KHUNTI,Oct,2019,26,20,302.4
9664,Jharkhand,KHUNTI,Nov,2019,27,19,2.2
9665,Jharkhand,KHUNTI,Dec,2019,23,14,33.6
9666,Jharkhand,KHUNTI,Jan,2020,22,14,60.6
9667,Jharkhand,KHUNTI,Feb,2020,25,15,37.9
9668,Jharkhand,KHUNTI,Mar,2020,30,20,88.2
9669,Jharkhand,KHUNTI,Apr,2020,36,25,47.9
9670,Jharkhand,KHUNTI,May,2020,38,26,50.2
9671,Jharkhand,KHUNTI,Jun,2020,32,25,343.4
9672,Jharkhand,KHUNTI,Jul,2020,30,24,547.7
9673,Jharkhand,KHUNTI,Aug,2020,29,24,601.8
9674,Jharkhand,KHUNTI,Sep,2020,30,24,259.8
9675,Jharkhand,KODERMA,Jan,2017,25,12,4.64
9676,Jharkhand,KODERMA,Feb,2017,29,14,0
9677,Jharkhand,KODERMA,Mar,2017,34,19,3.68
9678,Jharkhand,KODERMA,Apr,2017,41,26,6.39
9679,Jharkhand,KODERMA,May,2017,41,30,13.06
9680,Jharkhand,KODERMA,Jun,2017,40,31,21.47
9681,Jharkhand,KODERMA,Jul,2017,34,27,211.6
9682,Jharkhand,KODERMA,Aug,2017,34,27,176.02
9683,Jharkhand,KODERMA,Sep,2017,34,27,87.04
9684,Jharkhand,KODERMA,Oct,2017,31,23,45.76
9685,Jharkhand,KODERMA,Nov,2017,28,18,1.32
9686,Jharkhand,KODERMA,Dec,2017,25,15,0
9687,Jharkhand,KODERMA,Jan,2018,22,10,0
9688,Jharkhand,KODERMA,Feb,2018,29,16,0.09
9689,Jharkhand,KODERMA,Mar,2018,35,22,1
9690,Jharkhand,KODERMA,Apr,2018,39,26,7.72
9691,Jharkhand,KODERMA,May,2018,40,30,27.94
9692,Jharkhand,KODERMA,Jun,2018,39,31,49.21
9693,Jharkhand,KODERMA,Jul,2018,35,29,117
9694,Jharkhand,KODERMA,Aug,2018,34,27,137.57
9695,Jharkhand,KODERMA,Sep,2018,33,26,65.72
9696,Jharkhand,KODERMA,Oct,2018,32,24,53.5
9697,Jharkhand,KODERMA,Nov,2018,31,21,0.4
9698,Jharkhand,KODERMA,Dec,2018,25,16,31.9
9699,Jharkhand,KODERMA,Jan,2019,25,15,8.2
9700,Jharkhand,KODERMA,Feb,2019,28,17,63.5
9701,Jharkhand,KODERMA,Mar,2019,34,23,4.3
9702,Jharkhand,KODERMA,Apr,2019,41,30,6.2
9703,Jharkhand,KODERMA,May,2019,44,33,1.2
9704,Jharkhand,KODERMA,Jun,2019,42,33,83.1
9705,Jharkhand,KODERMA,Jul,2019,36,28,373.9
9706,Jharkhand,KODERMA,Aug,2019,35,27,376.4
9707,Jharkhand,KODERMA,Sep,2019,31,25,771.5
9708,Jharkhand,KODERMA,Oct,2019,30,23,102.6
9709,Jharkhand,KODERMA,Nov,2019,31,21,0.2
9710,Jharkhand,KODERMA,Dec,2019,25,16,12.8
9711,Jharkhand,KODERMA,Jan,2020,24,14,10.6
9712,Jharkhand,KODERMA,Feb,2020,27,15,19
9713,Jharkhand,KODERMA,Mar,2020,33,22,50.8
9714,Jharkhand,KODERMA,Apr,2020,39,27,12.6
9715,Jharkhand,KODERMA,May,2020,42,30,36
9716,Jharkhand,KODERMA,Jun,2020,37,29,229.3
9717,Jharkhand,KODERMA,Jul,2020,36,29,469.6
9718,Jharkhand,KODERMA,Aug,2020,35,28,297.5
9719,Jharkhand,KODERMA,Sep,2020,34,27,370.1
9720,Jharkhand,LATEHAR,Jan,2017,26,11,7.3
9721,Jharkhand,LATEHAR,Feb,2017,30,13,0
9722,Jharkhand,LATEHAR,Mar,2017,35,18,3.8
9723,Jharkhand,LATEHAR,Apr,2017,42,24,0.86
9724,Jharkhand,LATEHAR,May,2017,42,28,3.86
9725,Jharkhand,LATEHAR,Jun,2017,40,29,24.98
9726,Jharkhand,LATEHAR,Jul,2017,32,26,187.55
9727,Jharkhand,LATEHAR,Aug,2017,32,25,129
9728,Jharkhand,LATEHAR,Sep,2017,33,25,71.43
9729,Jharkhand,LATEHAR,Oct,2017,31,22,24.9
9730,Jharkhand,LATEHAR,Nov,2017,27,15,2.72
9731,Jharkhand,LATEHAR,Dec,2017,26,12,0.01
9732,Jharkhand,LATEHAR,Jan,2018,25,9,0
9733,Jharkhand,LATEHAR,Feb,2018,30,16,1.89
9734,Jharkhand,LATEHAR,Mar,2018,36,20,0.08
9735,Jharkhand,LATEHAR,Apr,2018,40,25,1.92
9736,Jharkhand,LATEHAR,May,2018,43,29,8.1
9737,Jharkhand,LATEHAR,Jun,2018,39,30,46.19
9738,Jharkhand,LATEHAR,Jul,2018,34,27,116.15
9739,Jharkhand,LATEHAR,Aug,2018,32,25,119.36
9740,Jharkhand,LATEHAR,Sep,2018,31,24,70.64
9741,Jharkhand,LATEHAR,Oct,2018,32,21,32
9742,Jharkhand,LATEHAR,Nov,2018,30,18,0
9743,Jharkhand,LATEHAR,Dec,2018,24,13,59.6
9744,Jharkhand,LATEHAR,Jan,2019,25,13,20.1
9745,Jharkhand,LATEHAR,Feb,2019,29,16,50.1
9746,Jharkhand,LATEHAR,Mar,2019,34,21,27.2
9747,Jharkhand,LATEHAR,Apr,2019,41,28,8.1
